titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Dgm5000e Motorola Mototrbo vhf,450000,22-07-2023,15:05:37,"Maipú, Región Metropolitana"
Lamina Mica Glass 9d Full Motorola Moto C,3790,20-07-2023,12:30:42,"Macul, Región Metropolitana"
Flex De Carga Motorola Moto One Fusion,5500,20-07-2023,12:29:15,"Macul, Región Metropolitana"
Motorola E7,45000,19-07-2023,22:20:32,"Independencia, Región Metropolitana"
Motorola edge 30 pro,275000,19-07-2023,21:27:44,"Puente Alto, Región Metropolitana"
Motorola Moto G9 Play,60000,19-07-2023,11:26:26,"Maipú, Región Metropolitana"
Motorolla G30,75000,18-07-2023,20:48:12,"Santiago, Región Metropolitana"
Radios Motorola,120000,17-07-2023,23:02:54,"San Miguel, Región Metropolitana"
Cargador radio Ep450 motorola,20000,17-07-2023,16:47:33,"Independencia, Región Metropolitana"
Radio motorolla ep 350 mx nueva en caja,140000,15-07-2023,21:12:04,"Colina, Región Metropolitana"
Motorola g20 rosado,70000,15-07-2023,14:22:19,"Puente Alto, Región Metropolitana"
Motorola G30,100000,14-07-2023,10:50:26,"Santiago, Región Metropolitana"
Celular Motorola,15000,14-07-2023,06:23:18,"San Joaquín, Región Metropolitana"
Motorola g60,100000,13-07-2023,15:32:02,"Estación Central, Región Metropolitana"
Celular Motorola G30,85000,13-07-2023,14:32:51,"Santiago, Región Metropolitana"
Motorola Moto G53 5g color plata NUEVO,150000,12-07-2023,11:19:10,"Las Condes, Región Metropolitana"
Motorola E22i,75000,12-07-2023,07:06:56,"Puente Alto, Región Metropolitana"
Motorola G-13,140000,12-07-2023,00:47:04,"Puente Alto, Región Metropolitana"
Motorola g13,150000,11-07-2023,18:24:16,"Lo Barnechea, Región Metropolitana"
Motorola G20,60000,11-07-2023,13:29:53,"Puente Alto, Región Metropolitana"
"Motorola Pro 5100, con micrófono de mano",60000,10-07-2023,02:02:03,"Maipú, Región Metropolitana"
Motorola g50 5g,90000,09-07-2023,12:18:46,"Puente Alto, Región Metropolitana"
Motorola Edge 30 Neo,250000,09-07-2023,10:02:26,"La Florida, Región Metropolitana"
Ptt para motorola apx2000,30000,08-07-2023,02:37:53,"Puente Alto, Región Metropolitana"
Motorola g 9 optimo,50000,07-07-2023,22:51:06,"La Florida, Región Metropolitana"
Motorola g53 5g,140000,06-07-2023,20:41:37,"Cerro Navia, Región Metropolitana"
Radiocomunicador profesional Motorola EP 450,190000,06-07-2023,10:16:20,"Santiago, Región Metropolitana"
Motorola G20,35000,05-07-2023,20:23:29,"Estación Central, Región Metropolitana"
Motorola G8 power lite,60000,05-07-2023,18:17:13,"San Bernardo, Región Metropolitana"
Celular Motorola One Fusion,50000,05-07-2023,12:18:49,"Quilicura, Región Metropolitana"
Celular Motorola G9 power,89000,05-07-2023,07:26:28,"Santiago, Región Metropolitana"
Celular Motorola G22,70000,04-07-2023,17:57:33,"Santiago, Región Metropolitana"
Motorola E22i nuevo,80000,04-07-2023,13:41:14,"Providencia, Región Metropolitana"
Motorola G6 Play,50000,04-07-2023,13:37:14,"Ñuñoa, Región Metropolitana"
Radio Motorola Dep550 vhf,230000,03-07-2023,11:30:37,"Santiago, Región Metropolitana"
Celular Motorola g20,60000,02-07-2023,13:58:06,"Lo Prado, Región Metropolitana"
Motorola g9,50000,30-06-2023,19:39:13,"San Bernardo, Región Metropolitana"
Motorola g30 128gb,78000,30-06-2023,14:05:56,"Santiago, Región Metropolitana"
Motorola E32 - 64Gb - 5G,100000,30-06-2023,12:31:40,"San Joaquín, Región Metropolitana"
128g /64g / IPhone Samsung Motorola,75000,29-06-2023,21:26:05,"Puente Alto, Región Metropolitana"
Motorola one fusion 64 perfecto estado,95000,29-06-2023,20:27:57,"Santiago, Región Metropolitana"
Motorola G13,100000,29-06-2023,16:45:31,"Quinta Normal, Región Metropolitana"
Motorola g71,150000,28-06-2023,12:02:44,"Maipú, Región Metropolitana"
Celular Motorola G31,390000,27-06-2023,21:34:52,"Macul, Región Metropolitana"
Motorola Edge 30 Fusion,100000,27-06-2023,21:31:17,"Independencia, Región Metropolitana"
Celular Motorola E20,50000,27-06-2023,21:03:03,"Macul, Región Metropolitana"
Motorola G20,0,27-06-2023,10:58:25,"Las Condes, Región Metropolitana"
0,0,0,,0
0,0,0,,0
0,0,0,,0
